1,ee:df:48:8a:85:59
2,dd:34:25:22:27:4f
3,e6:cd:ea:5b:c3:20
4,f2:e0:b8:ec:bc:64
5,e0:83:18:7a:b4:b4
6,d7:dc:54:63:da:36
7,e6:ea:5a:09:68:3d
8,c0:95:c3:e9:2a:4f
9,da:a6:72:61:c3:87
10,fb:6f:d0:70:29:95
11,e4:01:47:9f:ec:5b
12,d0:1d:ac:94:7c:5e
13,c2:dd:c5:39:90:f4
14,f8:f0:d7:63:9b:bd
15,ed:13:c7:d8:bf:10
16,c2:84:43:44:03:45
17,ee:ca:57:9d:b5:6c
18,e4:dd:cf:5f:bf:bc
19,c8:6d:ba:91:4a:92
20,e6:8b:70:41:94:46
21,ef:0a:db:57:8c:b5
22,c2:08:f6:59:2b:d0
23,f5:62:cb:73:52:93
24,c8:83:95:c0:72:4f
25,c1:ec:2f:63:f5:19
26,f2:6a:66:8b:24:d2
27,dc:63:1b:4b:3d:19
28,e8:58:47:ca:44:7e
